id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19594414,Grand 6 pièces près du Jardin botanique,99672233,Éric,,Rosemont-La Petite-Patrie,45.55398,-73.55894,Entire home/apt,68,31,8,2019-12-22,0.15,2,298,0,
19602342,"Sunny, large and cozy in the heart of the Mile End",107029285,Lara,,Le Plateau-Mont-Royal,45.51987,-73.59452,Entire home/apt,172,4,9,2019-08-13,0.17,1,0,0,
19603938,Rent my apartment and car - both for 900$ / month,137834206,Mircea,,Saint-Laurent,45.50046,-73.70112,Entire home/apt,1700,55,0,,,1,90,0,
19607358,One bedroom in a 2-bedroom condo in Plateau,137866219,Bahareh,,Le Plateau-Mont-Royal,45.51984,-73.58713,Private room,65,30,25,2019-09-22,0.47,1,8,0,
19611363,Entre le plateau et le centre-ville,137912569,Eric,,Ville-Marie,45.52798,-73.5569,Entire home/apt,130,1,16,2019-10-27,0.30,1,0,0,
19612057,"Le Chalet St-Léo, bachelor.",137921345,Nacima & Kamal,,Saint-Léonard,45.58585,-73.58198,Entire home/apt,61,2,74,2021-12-06,1.37,5,234,6,
19616950,"Appartement calme, entre metro et mega ctr sportif",137965840,Nicolas,,Ahuntsic-Cartierville,45.54919,-73.63901,Private room,34,2,13,2017-12-31,0.24,1,0,0,
19622131,Private room near metro (double bed),79521344,Morgan,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50232,-73.62034,Private room,30,1,28,2020-10-09,0.52,2,0,0,
19622527,Beautiful condo in the heart of Old Montreal,16238121,Alex,,Ville-Marie,45.50927,-73.55426,Entire home/apt,90,28,7,2021-11-24,0.30,1,120,5,
19624738,Very nice appartement in the heart of the Plateau,13825831,Coralie,,Le Plateau-Mont-Royal,45.52487,-73.57601,Entire home/apt,80,3,2,2017-08-07,0.04,1,0,0,
19625690,Le St-Ambroise,138060679,Deo,,Le Sud-Ouest,45.46892,-73.59312,Private room,51,1,43,2018-08-27,0.80,1,0,0,
19626084,Charmante maison privée complètement rénovée,136906567,Edouard,,Verdun,45.46202,-73.56786,Entire home/apt,152,7,1,2017-10-13,0.02,1,0,0,
19626905,Spacious 1 bedroom apartment in excellent location,138078115,Natahaly,,Ville-Marie,45.52216,-73.5523,Private room,70,2,14,2019-10-08,0.26,2,0,0,
19635773,Proche de tout les services et lieus touristiques,30373880,Juan,,Le Sud-Ouest,45.47758,-73.57228,Entire home/apt,43,60,27,2020-05-01,0.51,1,0,0,
19637387,"Home-like, Family apt, near metro, w/huge garden!",5539517,Anais,,Rosemont-La Petite-Patrie,45.53906,-73.58835,Entire home/apt,60,4,7,2019-07-19,0.13,1,0,0,
